Label (Grouping),Year,Total:,No Formal Education,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Census Tract 80.02, Multnomah County, Oregon!!Estimate",2019,"2,184",97,0,17,0,0,0,0,0,58,11,1,0,60,126,20,439,72,165,459,105,382,166,6,0
"Census Tract 81, Multnomah County, Oregon!!Estimate",2019,"5,850",96,26,0,0,0,0,3,25,66,13,4,88,82,97,123,"1,434",311,298,796,624,"1,218",464,15,67
"Census Tract 82.01, Multnomah County, Oregon!!Estimate",2019,"2,298",42,0,0,0,0,0,0,14,20,12,24,21,16,29,66,350,92,162,448,143,562,235,62,0
"Census Tract 82.02, Multnomah County, Oregon!!Estimate",2019,"6,160",101,0,0,0,0,0,65,42,183,29,105,182,211,124,164,"1,274",391,362,"1,061",492,813,342,219,0
"Census Tract 83.01, Multnomah County, Oregon!!Estimate",2019,"3,187",273,0,0,22,28,0,0,0,105,13,23,66,54,35,223,652,86,250,452,260,556,68,21,0
"Census Tract 83.02, Multnomah County, Oregon!!Estimate",2019,"3,481",51,0,0,0,0,0,14,152,25,0,59,75,11,114,114,797,236,321,408,373,490,202,12,27
"Census Tract 84, Multnomah County, Oregon!!Estimate",2019,"3,089",131,0,0,0,0,63,0,10,27,70,57,74,92,80,133,663,163,406,430,232,312,113,15,18
"Census Tract 85, Multnomah County, Oregon!!Estimate",2019,"3,183",129,0,16,0,0,18,0,17,0,0,13,96,26,124,143,669,146,257,527,312,488,124,51,27
"Census Tract 86, Multnomah County, Oregon!!Estimate",2019,"3,058",86,0,0,0,0,0,18,21,0,46,40,19,40,38,120,625,215,284,477,362,468,144,20,35
"Census Tract 87, Multnomah County, Oregon!!Estimate",2019,"3,800",52,0,6,21,0,0,0,60,0,34,18,74,49,46,37,643,313,268,592,130,972,391,20,74
"Census Tract 88, Multnomah County, Oregon!!Estimate",2019,"3,224",0,0,0,0,0,47,5,0,38,3,19,105,59,29,24,526,180,318,530,257,716,263,79,26
"Census Tract 89.01, Multnomah County, Oregon!!Estimate",2019,"7,330",197,0,0,0,0,64,0,17,0,16,199,145,208,49,162,"1,264",382,617,"1,236",723,"1,257",566,194,34
"Census Tract 89.02, Multnomah County, Oregon!!Estimate",2019,"2,825",43,0,0,0,0,0,83,0,0,0,19,3,49,42,81,603,99,249,554,210,570,182,30,8
"Census Tract 90, Multnomah County, Oregon!!Estimate",2019,"7,185",162,0,0,170,0,22,0,0,225,0,134,95,156,236,282,"1,315",742,576,"1,110",886,608,353,84,29
"Census Tract 91.01, Multnomah County, Oregon!!Estimate",2019,"3,991",99,0,0,37,75,25,0,37,91,61,10,79,151,173,119,"1,024",298,342,551,336,419,51,0,13
"Census Tract 91.02, Multnomah County, Oregon!!Estimate",2019,"4,540",128,0,0,0,0,32,20,0,17,0,71,58,44,37,74,"1,408",262,601,726,262,498,195,88,19
"Census Tract 92.01, Multnomah County, Oregon!!Estimate",2019,"5,622",100,0,0,0,155,51,3,0,49,30,7,311,38,161,276,"1,245",258,525,"1,007",549,743,96,18,0
"Census Tract 92.02, Multnomah County, Oregon!!Estimate",2019,"3,520",205,0,19,31,0,37,6,0,123,25,57,117,19,146,101,597,204,239,536,369,474,138,38,39
"Census Tract 93.01, Multnomah County, Oregon!!Estimate",2019,"4,529",61,0,0,0,0,32,6,0,150,1,17,206,28,68,384,719,207,487,807,392,634,281,32,17
"Census Tract 93.02, Multnomah County, Oregon!!Estimate",2019,"3,134",55,0,0,0,0,0,0,0,43,12,0,49,36,19,120,608,219,267,583,282,559,174,53,55
"Census Tract 94, Multnomah County, Oregon!!Estimate",2019,"5,325",98,0,0,0,21,0,0,0,71,0,61,111,40,111,159,"1,161",144,529,970,343,"1,043",373,58,32
"Census Tract 95.01, Multnomah County, Oregon!!Estimate",2019,"3,318",54,0,0,0,0,0,0,0,0,0,79,0,4,27,146,884,140,337,583,247,534,168,94,21
"Census Tract 95.02, Multnomah County, Oregon!!Estimate",2019,"2,827",28,0,0,0,0,0,0,11,12,2,0,17,30,46,35,509,143,246,485,220,672,222,125,24
"Census Tract 96.03, Multnomah County, Oregon!!Estimate",2019,"2,452",46,0,0,0,0,14,2,18,0,9,18,31,28,47,88,669,97,228,629,211,277,31,9,0
"Census Tract 96.04, Multnomah County, Oregon!!Estimate",2019,"3,282",322,0,0,0,43,30,83,24,82,0,36,31,131,64,64,627,108,287,712,238,268,132,0,0
"Census Tract 96.05, Multnomah County, Oregon!!Estimate",2019,"4,000",34,0,2,0,0,0,0,0,224,0,100,65,55,27,179,860,92,484,585,274,722,189,16,92
"Census Tract 96.06, Multnomah County, Oregon!!Estimate",2019,"3,651",67,0,0,0,0,0,0,88,276,9,50,146,156,36,71,718,178,246,881,266,272,169,19,3
"Census Tract 97.01, Multnomah County, Oregon!!Estimate",2019,"3,941",42,1,0,0,0,0,0,68,69,57,28,72,113,65,112,887,276,324,738,628,302,151,8,0
"Census Tract 97.02, Multnomah County, Oregon!!Estimate",2019,"5,208",67,0,0,36,19,0,21,0,203,0,185,50,56,263,214,"1,383",375,365,"1,153",236,431,132,1,18
"Census Tract 98.01, Multnomah County, Oregon!!Estimate",2019,"2,730",44,0,0,0,88,0,4,33,56,27,46,36,102,134,66,869,129,191,342,246,207,69,14,27
"Census Tract 98.03, Multnomah County, Oregon!!Estimate",2019,"5,393",249,0,0,0,0,0,35,15,145,0,39,32,13,161,190,"1,124",274,550,"1,064",425,734,319,24,0
"Census Tract 98.04, Multnomah County, Oregon!!Estimate",2019,"2,292",69,0,0,0,0,0,0,15,43,0,40,97,52,32,80,460,100,234,472,135,389,65,9,0
"Census Tract 99.03, Multnomah County, Oregon!!Estimate",2019,"4,672",133,30,0,0,0,0,0,0,0,33,36,6,36,24,30,687,147,326,"1,058",431,"1,030",551,75,39
"Census Tract 99.04, Multnomah County, Oregon!!Estimate",2019,"2,511",6,0,0,0,9,0,0,17,0,11,38,39,43,19,83,578,94,227,453,297,435,131,31,0
"Census Tract 99.05, Multnomah County, Oregon!!Estimate",2019,"2,360",0,0,0,0,0,0,0,0,0,0,10,33,21,28,58,510,49,311,326,313,504,137,52,8
