Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
Census Tract 79; Multnomah County; Oregon,2023,976,9,4,29,591,343,0,0,0,3216,92,48,122,968,938,738,310
Census Tract 80.01; Multnomah County; Oregon,2023,947,15,0,71,683,167,11,0,0,2460,128,0,24,894,585,660,169
Census Tract 80.02; Multnomah County; Oregon,2023,773,14,0,19,597,143,0,0,0,2388,100,0,70,727,799,514,178
Census Tract 81; Multnomah County; Oregon,2023,1258,80,10,103,916,149,0,0,0,5834,93,10,128,2591,1500,1147,365
Census Tract 82.01; Multnomah County; Oregon,2023,643,7,0,0,361,275,0,0,0,2547,154,58,4,567,824,626,314
Census Tract 82.03; Multnomah County; Oregon,2023,716,0,19,29,576,92,0,0,0,3828,0,65,42,1221,1531,666,303
Census Tract 82.04; Multnomah County; Oregon,2023,651,0,104,127,388,32,0,0,0,1694,148,26,32,830,504,94,60
Census Tract 83.01; Multnomah County; Oregon,2023,677,23,0,63,550,41,0,0,0,3029,216,43,172,930,690,713,265
Census Tract 83.02; Multnomah County; Oregon,2023,922,34,26,38,740,84,0,0,0,3668,156,66,33,1172,1192,657,392
Census Tract 84; Multnomah County; Oregon,2023,787,18,53,74,547,95,0,0,0,3609,231,8,157,1178,1216,638,181
Census Tract 85; Multnomah County; Oregon,2023,947,0,9,61,712,165,0,0,0,2811,188,0,35,948,988,455,197
Census Tract 86; Multnomah County; Oregon,2023,1046,118,0,24,749,155,0,0,0,2687,145,11,51,799,944,484,253
Census Tract 87; Multnomah County; Oregon,2023,1342,43,0,78,873,348,0,0,0,3447,157,8,25,975,774,1020,488
Census Tract 88; Multnomah County; Oregon,2023,1150,8,0,37,855,240,0,0,10,3141,124,0,21,917,953,709,417
Census Tract 89.02; Multnomah County; Oregon,2023,646,15,0,18,281,322,10,0,0,3124,86,39,14,1151,960,666,208
Census Tract 89.03; Multnomah County; Oregon,2023,1531,28,0,9,615,865,0,0,14,3552,184,0,24,794,1260,634,656
Census Tract 89.04; Multnomah County; Oregon,2023,860,25,34,30,384,387,0,0,0,3354,151,148,70,954,922,773,336
Census Tract 90.01; Multnomah County; Oregon,2023,1210,62,8,129,878,133,0,0,0,3528,61,0,54,1932,1021,342,118
Census Tract 90.02; Multnomah County; Oregon,2023,504,0,0,14,393,97,0,0,0,3008,103,55,24,1106,1241,381,98
Census Tract 91.01; Multnomah County; Oregon,2023,1083,135,4,186,584,174,0,0,0,4155,272,88,166,1555,1286,658,130
Census Tract 91.02; Multnomah County; Oregon,2023,1787,130,30,318,989,303,17,0,0,4573,244,52,82,1828,1390,539,438
Census Tract 92.02; Multnomah County; Oregon,2023,967,0,0,141,741,78,0,0,7,4078,105,146,114,1589,1472,390,262
Census Tract 92.03; Multnomah County; Oregon,2023,804,35,61,62,489,157,0,0,0,2342,113,177,37,668,540,464,343
Census Tract 92.04; Multnomah County; Oregon,2023,816,9,0,103,564,140,0,0,0,3135,189,0,12,1114,1101,585,134
Census Tract 93.01; Multnomah County; Oregon,2023,920,13,0,133,536,238,0,0,0,4119,87,0,111,1583,1520,647,171
Census Tract 93.02; Multnomah County; Oregon,2023,1068,35,14,102,733,184,0,0,0,3715,113,0,0,986,1313,914,389
Census Tract 94; Multnomah County; Oregon,2023,2560,19,0,115,1681,745,0,0,0,5569,108,50,59,1259,2137,1358,598
Census Tract 95.01; Multnomah County; Oregon,2023,1234,66,17,111,618,422,0,0,0,3275,165,19,23,1118,1068,599,283
Census Tract 95.02; Multnomah County; Oregon,2023,912,23,0,6,545,338,0,0,0,2672,96,0,26,806,775,670,299
Census Tract 96.03; Multnomah County; Oregon,2023,810,11,0,87,680,32,0,0,0,2518,99,7,70,1086,858,238,160
Census Tract 96.04; Multnomah County; Oregon,2023,1049,136,88,85,667,73,0,0,0,3630,252,144,130,1219,1214,579,92
Census Tract 96.05; Multnomah County; Oregon,2023,1054,0,0,37,535,482,0,0,0,3880,67,0,53,1566,1406,557,231
Census Tract 96.06; Multnomah County; Oregon,2023,753,28,0,27,670,21,7,0,0,3443,157,11,340,1445,887,391,212
Census Tract 97.01; Multnomah County; Oregon,2023,1098,17,2,57,902,120,0,0,0,2968,86,4,27,1202,1109,196,344
Census Tract 97.03; Multnomah County; Oregon,2023,1056,79,87,159,631,100,0,0,0,3663,115,0,282,1405,1242,400,219
Census Tract 97.04; Multnomah County; Oregon,2023,1007,26,0,0,913,68,0,0,0,2631,15,16,372,1009,795,353,71
Census Tract 98.01; Multnomah County; Oregon,2023,488,82,51,8,288,48,11,0,0,2409,170,42,6,600,1083,330,178
Census Tract 98.03; Multnomah County; Oregon,2023,1408,30,0,188,993,197,0,0,0,4779,262,158,75,1741,1681,671,191
Census Tract 98.04; Multnomah County; Oregon,2023,567,47,16,38,422,44,0,0,0,2321,292,0,126,776,756,230,141
Census Tract 99.03; Multnomah County; Oregon,2023,2245,0,0,17,716,1450,42,0,20,6178,152,0,82,1751,2381,1156,656
Census Tract 99.04; Multnomah County; Oregon,2023,873,9,0,173,445,246,0,0,0,2482,32,42,44,740,1077,292,255
Census Tract 99.05; Multnomah County; Oregon,2023,892,22,0,7,551,312,0,0,0,2366,0,0,31,638,1065,389,243
Census Tract 99.06; Multnomah County; Oregon,2023,1275,18,25,0,634,598,0,0,0,2910,34,21,0,528,1058,945,324
Census Tract 99.07; Multnomah County; Oregon,2023,1520,13,28,17,691,724,47,0,0,3896,65,33,43,1430,1175,510,640
Census Tract 100.01; Multnomah County; Oregon,2023,653,19,21,0,468,126,19,0,0,4306,77,0,143,1538,1431,602,515
Census Tract 100.02; Multnomah County; Oregon,2023,1294,19,27,111,671,441,0,0,25,4041,76,0,37,1122,1677,793,336
Census Tract 101.01; Multnomah County; Oregon,2023,894,79,0,55,674,86,0,0,0,2745,5,106,115,730,1187,390,212
Census Tract 101.02; Multnomah County; Oregon,2023,669,0,0,62,463,144,0,0,0,3512,57,234,110,1014,1067,725,305
Census Tract 102; Multnomah County; Oregon,2023,2004,187,201,208,992,339,77,0,0,5283,112,263,26,1482,2164,959,277
Census Tract 103.03; Multnomah County; Oregon,2023,1126,89,76,54,726,137,0,0,44,3983,112,35,117,1304,1206,713,496
Census Tract 103.04; Multnomah County; Oregon,2023,912,265,20,99,418,110,0,0,0,3344,159,82,332,1358,931,283,199
Census Tract 103.05; Multnomah County; Oregon,2023,1049,39,56,83,657,204,10,0,0,2484,91,11,10,668,1035,476,193
Census Tract 103.06; Multnomah County; Oregon,2023,1302,9,0,47,994,252,0,0,0,3076,82,0,0,978,1162,705,149
Census Tract 104.02; Multnomah County; Oregon,2023,1445,0,31,47,510,823,34,0,0,4078,87,83,58,1175,1572,738,365
Census Tract 104.05; Multnomah County; Oregon,2023,1174,0,0,33,964,177,0,0,0,3968,57,60,0,1540,1571,412,328
Census Tract 104.07; Multnomah County; Oregon,2023,1189,31,6,19,710,415,8,0,0,4030,34,0,65,1260,1750,626,295
Census Tract 104.08; Multnomah County; Oregon,2023,1432,179,123,100,727,285,18,0,0,4591,47,40,312,1817,1452,777,146
Census Tract 104.10; Multnomah County; Oregon,2023,729,11,0,138,495,85,0,0,0,3190,35,0,94,1531,1052,223,255
Census Tract 104.11; Multnomah County; Oregon,2023,684,41,30,162,417,34,0,0,0,2656,38,0,0,1271,931,236,180
Census Tract 104.12; Multnomah County; Oregon,2023,981,7,21,4,352,597,0,0,0,2248,10,0,0,711,664,646,217
Census Tract 104.13; Multnomah County; Oregon,2023,1196,0,0,67,639,490,0,0,0,3381,90,65,71,840,1285,540,490
Census Tract 105; Multnomah County; Oregon,2023,1186,9,8,50,110,905,104,0,0,2970,14,0,6,767,896,915,372
Census Tract 106.01; Multnomah County; Oregon,2023,303,0,0,40,106,93,0,54,10,1274,26,0,2,108,503,272,363
Census Tract 106.02; Multnomah County; Oregon,2023,25,0,0,0,25,0,0,0,0,1917,0,0,0,557,823,385,152
Census Tract 9800; Multnomah County; Oregon,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
