Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+
"Census Tract 17.04, Multnomah County, Oregon",2020,923,0,0,216,501,206,0,0,0
"Census Tract 18.01, Multnomah County, Oregon",2020,723,0,0,0,383,340,0,0,0
"Census Tract 18.02, Multnomah County, Oregon",2020,799,0,0,41,221,502,35,0,0
"Census Tract 19, Multnomah County, Oregon",2020,1607,0,0,10,106,1182,145,110,54
"Census Tract 20.01, Multnomah County, Oregon",2020,423,0,0,66,98,245,14,0,0
"Census Tract 20.02, Multnomah County, Oregon",2020,308,21,0,0,63,224,0,0,0
"Census Tract 21.01, Multnomah County, Oregon",2020,0,0,0,0,0,0,0,0,0
"Census Tract 21.02, Multnomah County, Oregon",2020,127,0,0,0,41,86,0,0,0
"Census Tract 22.03, Multnomah County, Oregon",2020,640,0,10,8,210,412,0,0,0
"Census Tract 23.03, Multnomah County, Oregon",2020,257,0,0,72,57,128,0,0,0
"Census Tract 24.01, Multnomah County, Oregon",2020,876,0,3,60,61,664,74,14,0
"Census Tract 24.02, Multnomah County, Oregon",2020,563,0,0,34,250,229,50,0,0
"Census Tract 25.01, Multnomah County, Oregon",2020,1680,0,0,4,113,1364,123,51,25
"Census Tract 25.02, Multnomah County, Oregon",2020,746,10,0,58,94,415,142,16,11
"Census Tract 26, Multnomah County, Oregon",2020,1118,13,139,0,119,804,43,0,0
"Census Tract 27.01, Multnomah County, Oregon",2020,1153,11,0,21,95,900,126,0,0
"Census Tract 27.02, Multnomah County, Oregon",2020,669,0,0,9,218,442,0,0,0
"Census Tract 28.01, Multnomah County, Oregon",2020,1028,0,0,0,330,663,35,0,0
"Census Tract 28.02, Multnomah County, Oregon",2020,923,0,0,13,450,460,0,0,0
"Census Tract 29.01, Multnomah County, Oregon",2020,1296,0,7,47,1068,174,0,0,0
"Census Tract 29.02, Multnomah County, Oregon",2020,1902,41,32,0,1329,479,0,21,0
"Census Tract 29.03, Multnomah County, Oregon",2020,975,16,11,110,830,8,0,0,0
"Census Tract 30, Multnomah County, Oregon",2020,1784,15,0,31,570,1168,0,0,0
"Census Tract 31, Multnomah County, Oregon",2020,1401,56,0,28,265,1028,24,0,0
"Census Tract 32, Multnomah County, Oregon",2020,1290,17,0,13,341,901,18,0,0
"Census Tract 33.01, Multnomah County, Oregon",2020,551,0,0,19,311,221,0,0,0
"Census Tract 33.02, Multnomah County, Oregon",2020,777,0,27,0,285,449,16,0,0
"Census Tract 34.01, Multnomah County, Oregon",2020,892,13,18,9,334,506,0,0,12
"Census Tract 34.02, Multnomah County, Oregon",2020,583,29,0,12,342,200,0,0,0
"Census Tract 35.01, Multnomah County, Oregon",2020,705,0,17,12,333,335,8,0,0
"Census Tract 35.02, Multnomah County, Oregon",2020,547,0,0,0,173,346,28,0,0
"Census Tract 36.01, Multnomah County, Oregon",2020,1354,84,33,172,738,327,0,0,0
"Census Tract 36.02, Multnomah County, Oregon",2020,2195,18,0,62,659,1456,0,0,0
"Census Tract 36.03, Multnomah County, Oregon",2020,576,11,4,21,274,242,4,0,20
"Census Tract 37.01, Multnomah County, Oregon",2020,1026,0,0,36,823,167,0,0,0
"Census Tract 37.02, Multnomah County, Oregon",2020,673,0,0,5,258,406,4,0,0
"Census Tract 38.01, Multnomah County, Oregon",2020,754,12,0,29,517,189,7,0,0
"Census Tract 38.02, Multnomah County, Oregon",2020,903,10,0,28,658,190,0,0,17
"Census Tract 38.03, Multnomah County, Oregon",2020,952,0,0,30,545,377,0,0,0
"Census Tract 39.02, Multnomah County, Oregon",2020,1095,24,0,10,654,396,11,0,0
"Census Tract 39.03, Multnomah County, Oregon",2020,865,0,0,111,612,142,0,0,0
"Census Tract 39.04, Multnomah County, Oregon",2020,1352,14,0,38,1117,183,0,0,0
"Census Tract 40.02, Multnomah County, Oregon",2020,1133,0,0,22,641,468,2,0,0
"Census Tract 40.03, Multnomah County, Oregon",2020,1471,0,33,209,1167,62,0,0,0
"Census Tract 41.02, Multnomah County, Oregon",2020,1673,0,0,164,1166,328,0,0,15
"Census Tract 41.03, Multnomah County, Oregon",2020,1286,0,0,187,942,157,0,0,0
"Census Tract 41.04, Multnomah County, Oregon",2020,397,0,10,19,299,69,0,0,0
"Census Tract 42, Multnomah County, Oregon",2020,772,5,0,128,560,79,0,0,0
